baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,alternative_gene_id,alternative_gene_name,comparison_status,baseline_variant_count,alternative_variant_count,exact_shared_variant_count,target_only_variant_count,accepted_match_count,rejected_match_count,target_reference_match_count,callable_no_candidate_count,target_not_callable_count,unresolved_projection_count,burden_explanation
GCF_000005845.2,b2207,napD,GCF_003697165.2,EAS44_RS09260,napD,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2208,napF,GCF_003697165.2,EAS44_RS09255,napF,comparable,4,4,3,1,3,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b4604,yojO,GCF_003697165.2,EAS44_RS25090,EAS44_RS25090,comparable,1,5,0,5,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2209,eco,GCF_003697165.2,EAS44_RS09250,eco,comparable,1,14,1,13,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2210,mqo,GCF_003697165.2,EAS44_RS09245,mqo,comparable,24,33,12,21,12,0,12,0,0,0,partially_shared_variants
GCF_000005845.2,b2211,yojI,GCF_003697165.2,EAS44_RS09240,yojI,comparable,15,47,8,39,8,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b2212,alkB,GCF_003697165.2,EAS44_RS09235,alkB,comparable,6,27,4,23,4,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b2213,ada,GCF_003697165.2,EAS44_RS09230,ada,comparable,22,53,15,38,15,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b2214,ftp,GCF_003697165.2,EAS44_RS09225,apbE,comparable,0,33,0,33,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2218,rcsC,GCF_003697165.2,EAS44_RS09205,rcsC,comparable,16,56,11,45,11,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b2219,atoS,GCF_003697165.2,EAS44_RS09200,atoS,comparable,10,23,0,23,0,0,10,0,0,0,reference_allele_difference
GCF_000005845.2,b2220,atoC,GCF_003697165.2,EAS44_RS09195,atoC,comparable,0,14,0,14,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2221,atoD,GCF_003697165.2,EAS44_RS09190,atoD,comparable,0,6,0,6,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2222,atoA,GCF_003697165.2,EAS44_RS09185,atoA,comparable,0,9,0,9,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2223,atoE,GCF_003697165.2,EAS44_RS09180,atoE,comparable,0,28,0,28,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2224,atoB,GCF_003697165.2,EAS44_RS09175,atoB,comparable,0,27,0,27,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2225,yfaP,GCF_003697165.2,EAS44_RS09170,yfaP,comparable,1,32,1,31,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2226,yfaQ,GCF_003697165.2,EAS44_RS09165,yfaQ,comparable,1,74,0,74,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2229,yfaT,GCF_003697165.2,EAS44_RS09155,yfaT,comparable,2,18,2,16,2,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2230,yfaA,GCF_003697165.2,EAS44_RS09150,yfaA,comparable,2,59,2,57,2,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2231,gyrA,GCF_003697165.2,EAS44_RS09145,gyrA,comparable,44,74,27,47,27,0,17,0,0,0,partially_shared_variants
GCF_000005845.2,b2232,ubiG,GCF_003697165.2,EAS44_RS09140,ubiG,comparable,5,24,4,20,4,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b2234,nrdA,GCF_003697165.2,EAS44_RS09130,nrdA,comparable,0,49,0,49,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2235,nrdB,GCF_003697165.2,EAS44_RS09125,nrdB,comparable,19,44,6,38,6,0,13,0,0,0,partially_shared_variants
GCF_000005845.2,b2236,yfaE,GCF_003697165.2,EAS44_RS09120,yfaE,comparable,4,9,2,7,2,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b2237,inaA,GCF_003697165.2,EAS44_RS09115,inaA,comparable,1,13,1,12,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2239,glpQ,GCF_003697165.2,EAS44_RS09110,glpQ,comparable,9,21,6,15,6,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b2240,glpT,GCF_003697165.2,EAS44_RS09105,glpT,comparable,2,20,0,20,0,0,2,0,0,0,reference_allele_difference
GCF_000005845.2,b2241,glpA,GCF_003697165.2,EAS44_RS09100,glpA,comparable,1,34,1,33,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2242,glpB,GCF_003697165.2,EAS44_RS09095,glpB,comparable,33,67,16,51,16,0,17,0,0,0,partially_shared_variants
GCF_000005845.2,b2243,glpC,GCF_003697165.2,EAS44_RS09090,glpC,comparable,7,32,5,27,5,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b2245,yfaU,GCF_003697165.2,EAS44_RS09075,yfaU,comparable,0,15,0,15,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2246,yfaV,GCF_003697165.2,EAS44_RS09070,yfaV,comparable,2,32,1,31,1,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b2247,rhmD,GCF_003697165.2,EAS44_RS09065,rhmD,comparable,0,23,0,23,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2248,yfaX,GCF_003697165.2,EAS44_RS09060,yfaX,comparable,0,21,0,21,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2249,yfaY,GCF_003697165.2,EAS44_RS09055,yfaY,comparable,0,40,0,40,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2250,yfaZ,GCF_003697165.2,EAS44_RS09050,yfaZ,comparable,0,29,0,29,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2251,nudI,GCF_003697165.2,EAS44_RS09045,nudI,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2252,ais,GCF_003697165.2,EAS44_RS09040,ais,comparable,1,23,1,22,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2253,arnB,GCF_003697165.2,EAS44_RS09035,arnB,comparable,0,25,0,25,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2254,arnC,GCF_003697165.2,EAS44_RS09030,arnC,comparable,0,25,0,25,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2255,arnA,GCF_003697165.2,EAS44_RS09025,arnA,comparable,0,49,0,49,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2256,arnD,GCF_003697165.2,EAS44_RS09020,arnD,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2257,arnT,GCF_003697165.2,EAS44_RS09015,arnT,comparable,2,33,2,31,2,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b4544,arnE,GCF_003697165.2,EAS44_RS09010,arnE,comparable,0,8,0,8,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2258,arnF,GCF_003697165.2,EAS44_RS09005,arnF,comparable,0,9,0,9,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2259,pmrD,GCF_003697165.2,EAS44_RS09000,pmrD,comparable,0,7,0,7,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2260,menE,GCF_003697165.2,EAS44_RS08995,menE,comparable,0,57,0,57,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2261,menC,GCF_003697165.2,EAS44_RS08990,menC,comparable,0,48,0,48,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2262,menB,GCF_003697165.2,EAS44_RS08985,menB,comparable,0,34,0,34,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2263,menH,GCF_003697165.2,EAS44_RS08980,menH,comparable,1,33,1,32,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2264,menD,GCF_003697165.2,EAS44_RS08975,menD,comparable,0,58,0,58,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2265,menF,GCF_003697165.2,EAS44_RS08970,menF,comparable,0,44,0,44,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2266,elaB,GCF_003697165.2,EAS44_RS08965,elaB,comparable,0,6,0,6,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2268,rbn,GCF_003697165.2,EAS44_RS08955,rbn,comparable,0,33,0,33,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2272,yfbM,GCF_003697165.2,EAS44_RS08940,yfbM,comparable,6,9,3,6,3,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b2276,nuoN,GCF_003697165.2,EAS44_RS08935,nuoN,comparable,5,30,2,28,2,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b2277,nuoM,GCF_003697165.2,EAS44_RS08930,nuoM,comparable,19,32,7,25,7,0,12,0,0,0,partially_shared_variants
GCF_000005845.2,b2278,nuoL,GCF_003697165.2,EAS44_RS08925,nuoL,comparable,13,31,7,24,7,0,6,0,0,0,partially_shared_variants
GCF_000005845.2,b2279,nuoK,GCF_003697165.2,EAS44_RS08920,nuoK,comparable,0,4,0,4,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2280,nuoJ,GCF_003697165.2,EAS44_RS08915,nuoJ,comparable,0,9,0,9,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2281,nuoI,GCF_003697165.2,EAS44_RS08910,nuoI,comparable,0,2,0,2,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2282,nuoH,GCF_003697165.2,EAS44_RS08905,nuoH,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2283,nuoG,GCF_003697165.2,EAS44_RS08900,nuoG,comparable,30,57,16,41,16,0,14,0,0,0,partially_shared_variants
GCF_000005845.2,b2284,nuoF,GCF_003697165.2,EAS44_RS08895,nuoF,comparable,26,36,13,23,13,0,13,0,0,0,partially_shared_variants
GCF_000005845.2,b2285,nuoE,GCF_003697165.2,EAS44_RS08890,nuoE,comparable,4,19,2,17,2,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b2286,nuoC,GCF_003697165.2,EAS44_RS08885,nuoC,comparable,13,40,6,34,6,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b2287,nuoB,GCF_003697165.2,EAS44_RS08880,nuoB,comparable,1,11,1,10,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2288,nuoA,GCF_003697165.2,EAS44_RS08875,nuoA,comparable,0,2,0,2,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2289,lrhA,GCF_003697165.2,EAS44_RS08870,lrhA,comparable,8,9,0,9,0,0,8,0,0,0,reference_allele_difference
GCF_000005845.2,b2290,alaA,GCF_003697165.2,EAS44_RS08865,alaA,comparable,3,13,1,12,1,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b2291,yfbR,GCF_003697165.2,EAS44_RS08860,yfbR,comparable,1,9,0,9,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2292,yfbS,GCF_003697165.2,EAS44_RS08855,yfbS,comparable,8,29,2,27,2,0,6,0,0,0,partially_shared_variants
GCF_000005845.2,b2293,hxpA,GCF_003697165.2,EAS44_RS08850,hxpA,comparable,1,17,0,17,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2294,yfbU,GCF_003697165.2,EAS44_RS08845,yfbU,comparable,0,8,0,8,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2295,yfbV,GCF_003697165.2,EAS44_RS08840,yfbV,comparable,4,6,1,5,1,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b2296,ackA,GCF_003697165.2,EAS44_RS08835,ackA,comparable,2,4,1,3,1,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b2297,pta,GCF_003697165.2,EAS44_RS08830,pta,comparable,1,41,0,41,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2298,yfcC,GCF_003697165.2,EAS44_RS08825,yfcC,comparable,13,28,9,19,9,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b2299,yfcD,GCF_003697165.2,EAS44_RS08820,yfcD,comparable,4,4,2,2,2,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b2300,yfcE,GCF_003697165.2,EAS44_RS08815,yfcE,comparable,1,2,0,2,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2301,yfcF,GCF_003697165.2,EAS44_RS08810,yfcF,comparable,2,6,0,6,0,0,2,0,0,0,reference_allele_difference
GCF_000005845.2,b2302,yfcG,GCF_003697165.2,EAS44_RS08805,yfcG,comparable,1,17,1,16,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2303,folX,GCF_003697165.2,EAS44_RS08800,folX,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2304,yfcH,GCF_003697165.2,EAS44_RS08795,yfcH,comparable,0,26,0,26,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2305,rpnB,GCF_003697165.2,EAS44_RS08790,rpnB,comparable,1,28,0,28,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2306,hisP,GCF_003697165.2,EAS44_RS08785,hisP,comparable,1,30,1,29,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2307,hisM,GCF_003697165.2,EAS44_RS08780,hisM,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2308,hisQ,GCF_003697165.2,EAS44_RS08775,hisQ,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2309,hisJ,GCF_003697165.2,EAS44_RS08770,hisJ,comparable,1,23,1,22,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2310,argT,GCF_003697165.2,EAS44_RS08765,argT,comparable,0,23,0,23,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2311,ubiX,GCF_003697165.2,EAS44_RS08760,ubiX,comparable,0,16,0,16,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2312,purF,GCF_003697165.2,EAS44_RS08755,purF,comparable,0,30,0,30,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2313,cvpA,GCF_003697165.2,EAS44_RS08750,cvpA,comparable,1,3,0,3,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2314,dedD,GCF_003697165.2,EAS44_RS08745,dedD,comparable,0,18,0,18,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2315,folC,GCF_003697165.2,EAS44_RS08740,folC,comparable,0,19,0,19,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2316,accD,GCF_003697165.2,EAS44_RS08735,accD,comparable,1,14,1,13,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2317,dedA,GCF_003697165.2,EAS44_RS08730,dedA,comparable,0,20,0,20,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2318,truA,GCF_003697165.2,EAS44_RS08725,truA,comparable,1,17,0,17,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2319,usg,GCF_003697165.2,EAS44_RS08720,usg,comparable,0,26,0,26,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2320,pdxB,GCF_003697165.2,EAS44_RS08715,pdxB,comparable,1,33,0,33,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b2321,flk,GCF_003697165.2,EAS44_RS08710,flk,comparable,0,13,0,13,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2322,yfcJ,GCF_003697165.2,EAS44_RS08705,yfcJ,comparable,14,41,10,31,10,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b2323,fabB,GCF_003697165.2,EAS44_RS08700,fabB,comparable,2,25,2,23,2,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2324,mnmC,GCF_003697165.2,EAS44_RS08695,mnmC,comparable,8,104,5,99,5,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b2325,yfcL,GCF_003697165.2,EAS44_RS08690,yfcL,comparable,1,10,1,9,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2326,epmC,GCF_003697165.2,EAS44_RS08685,epmC,comparable,15,32,11,21,11,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b2327,yfcA,GCF_003697165.2,EAS44_RS08680,yfcA,comparable,5,31,1,30,1,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b2328,mepA,GCF_003697165.2,EAS44_RS08675,mepA,comparable,1,20,1,19,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b2329,aroC,GCF_003697165.2,EAS44_RS08670,aroC,comparable,34,56,15,41,15,0,19,0,0,0,partially_shared_variants
GCF_000005845.2,b2330,prmB,GCF_003697165.2,EAS44_RS08665,prmB,comparable,41,39,26,13,26,0,15,0,0,0,partially_shared_variants
GCF_000005845.2,b2340,sixA,GCF_003697165.2,EAS44_RS08615,sixA,comparable,3,6,0,6,0,0,0,0,0,3,unresolved_liftover
GCF_000005845.2,b2341,fadJ,GCF_003697165.2,EAS44_RS08610,fadJ,comparable,18,87,0,87,0,0,0,0,0,18,unresolved_liftover
GCF_000005845.2,b2342,fadI,GCF_003697165.2,EAS44_RS08605,fadI,comparable,0,58,0,58,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2343,yfcZ,GCF_003697165.2,EAS44_RS08600,yfcZ,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2344,fadL,GCF_003697165.2,EAS44_RS08595,fadL,comparable,1,43,0,43,0,0,0,0,0,1,unresolved_liftover
GCF_000005845.2,b2346,mlaA,GCF_003697165.2,EAS44_RS08590,mlaA,comparable,8,18,0,18,0,0,0,0,0,8,unresolved_liftover
GCF_000005845.2,b2347,yfdC,GCF_003697165.2,EAS44_RS08585,yfdC,comparable,2,20,0,20,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2365,dsdX,GCF_003697165.2,EAS44_RS08255,dsdX,comparable,1,25,0,25,0,0,0,0,0,1,unresolved_liftover
GCF_000005845.2,b2366,dsdA,GCF_003697165.2,EAS44_RS08250,dsdA,comparable,7,68,0,68,0,0,0,0,0,7,unresolved_liftover
GCF_000005845.2,b2369,evgA,GCF_003697165.2,EAS44_RS08235,evgA,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2370,evgS,GCF_003697165.2,EAS44_RS08230,evgS,comparable,0,129,0,129,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2371,yfdE,GCF_003697165.2,EAS44_RS08225,yfdE,comparable,4,27,0,27,0,0,0,0,0,4,unresolved_liftover
GCF_000005845.2,b2372,yfdV,GCF_003697165.2,EAS44_RS08220,yfdV,comparable,1,22,0,22,0,0,0,0,0,1,unresolved_liftover
GCF_000005845.2,b2373,oxc,GCF_003697165.2,EAS44_RS08215,oxc,comparable,0,35,0,35,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2374,frc,GCF_003697165.2,EAS44_RS08210,frc,comparable,0,16,0,16,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2375,yfdX,GCF_003697165.2,EAS44_RS08205,yfdX,comparable,3,12,0,12,0,0,0,0,0,3,unresolved_liftover
GCF_000005845.2,b2376,ypdI,GCF_003697165.2,EAS44_RS08200,ypdI,comparable,7,20,0,20,0,0,0,0,0,7,unresolved_liftover
GCF_000005845.2,b2377,yfdY,GCF_003697165.2,EAS44_RS08195,yfdY,comparable,3,5,0,5,0,0,0,0,0,3,unresolved_liftover
GCF_000005845.2,b2378,lpxP,GCF_003697165.2,EAS44_RS08190,lpxP,comparable,0,24,0,24,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b4680,ypdK,GCF_003697165.2,EAS44_RS08185,ypdK,comparable,1,1,0,1,0,0,0,0,0,1,unresolved_liftover
GCF_000005845.2,b2379,alaC,GCF_003697165.2,EAS44_RS08180,alaC,comparable,0,53,0,53,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2380,pyrS,GCF_003697165.2,EAS44_RS08175,ypdA,comparable,30,58,0,58,0,0,0,0,0,30,unresolved_liftover
GCF_000005845.2,b2381,pyrR,GCF_003697165.2,EAS44_RS08170,ypdB,comparable,8,18,0,18,0,0,0,0,0,8,unresolved_liftover
GCF_000005845.2,b2382,ypdC,GCF_003697165.2,EAS44_RS08165,ypdC,comparable,14,31,0,31,0,0,0,0,0,14,unresolved_liftover
GCF_000005845.2,b2383,fryA,GCF_003697165.2,EAS44_RS08160,ptsP,comparable,3,122,0,122,0,0,0,0,0,3,unresolved_liftover
GCF_000005845.2,b2384,ypdE,GCF_003697165.2,EAS44_RS08155,ypdE,comparable,2,38,0,38,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2385,ypdF,GCF_003697165.2,EAS44_RS08150,ypdF,comparable,2,43,0,43,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2386,fryC,GCF_003697165.2,EAS44_RS08145,fryC,comparable,2,36,0,36,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2387,fryB,GCF_003697165.2,EAS44_RS08140,fryB,comparable,0,3,0,3,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2388,glk,GCF_003697165.2,EAS44_RS08135,glk,comparable,0,15,0,15,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2389,yfeO,GCF_003697165.2,EAS44_RS08130,yfeO,comparable,9,28,0,28,0,0,0,0,0,9,unresolved_liftover
GCF_000005845.2,b2390,ypeC,GCF_003697165.2,EAS44_RS08125,ypeC,comparable,9,10,0,10,0,0,0,0,0,9,unresolved_liftover
GCF_000005845.2,b2392,mntH,GCF_003697165.2,EAS44_RS08120,mntH,comparable,22,33,0,33,0,0,0,0,0,22,unresolved_liftover
GCF_000005845.2,b2393,nupC,GCF_003697165.2,EAS44_RS08115,nupC,comparable,15,19,0,19,0,0,0,0,0,15,unresolved_liftover
GCF_000005845.2,b2395,pdeA,GCF_003697165.2,EAS44_RS08110,pdeA,comparable,2,72,0,72,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2398,yfeC,GCF_003697165.2,EAS44_RS08095,yfeC,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2400,gltX,GCF_003697165.2,EAS44_RS08085,gltX,comparable,0,29,0,29,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2409,yfeR,GCF_003697165.2,EAS44_RS08035,yfeR,comparable,2,11,0,11,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2410,yfeH,GCF_003697165.2,EAS44_RS08030,yfeH,comparable,0,19,0,19,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b4546,ypeB,GCF_003697165.2,EAS44_RS08025,ypeB,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2411,ligA,GCF_003697165.2,EAS44_RS08020,ligA,comparable,18,55,0,55,0,0,0,0,0,18,unresolved_liftover
GCF_000005845.2,b2412,zipA,GCF_003697165.2,EAS44_RS08015,zipA,comparable,2,11,0,11,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2413,cysZ,GCF_003697165.2,EAS44_RS08010,cysZ,comparable,12,10,0,10,0,0,0,0,0,12,unresolved_liftover
GCF_000005845.2,b2414,cysK,GCF_003697165.2,EAS44_RS08005,cysK,comparable,6,21,0,21,0,0,0,0,0,6,unresolved_liftover
GCF_000005845.2,b2415,ptsH,GCF_003697165.2,EAS44_RS08000,ptsH,comparable,0,0,0,0,0,0,0,0,0,0,same_exact_variants
GCF_000005845.2,b2416,ptsI,GCF_003697165.2,EAS44_RS07995,ptsI,comparable,1,8,0,8,0,0,0,0,0,1,unresolved_liftover
GCF_000005845.2,b2417,crr,GCF_003697165.2,EAS44_RS07990,crr,comparable,0,7,0,7,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2418,pdxK,GCF_003697165.2,EAS44_RS07985,pdxK,comparable,0,28,0,28,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2419,yfeK,GCF_003697165.2,EAS44_RS07980,yfeK,comparable,12,18,0,18,0,0,0,0,0,12,unresolved_liftover
GCF_000005845.2,b2421,cysM,GCF_003697165.2,EAS44_RS07975,cysM,comparable,24,40,0,40,0,0,0,0,0,24,unresolved_liftover
GCF_000005845.2,b2422,cysA,GCF_003697165.2,EAS44_RS07970,cysA,comparable,32,53,0,53,0,0,0,0,0,32,unresolved_liftover
GCF_000005845.2,b2423,cysW,GCF_003697165.2,EAS44_RS07965,cysW,comparable,29,40,0,40,0,0,0,0,0,29,unresolved_liftover
GCF_000005845.2,b2424,cysU,GCF_003697165.2,EAS44_RS07960,cysT,comparable,44,48,0,48,0,0,0,0,0,44,unresolved_liftover
GCF_000005845.2,b2425,cysP,GCF_003697165.2,EAS44_RS07955,cysP,comparable,31,33,0,33,0,0,0,0,0,31,unresolved_liftover
GCF_000005845.2,b2426,ucpA,GCF_003697165.2,EAS44_RS07950,ucpA,comparable,12,29,0,29,0,0,0,0,0,12,unresolved_liftover
GCF_000005845.2,b2428,murQ,GCF_003697165.2,EAS44_RS07940,murQ,comparable,23,48,0,48,0,0,0,0,0,23,unresolved_liftover
GCF_000005845.2,b2429,murP,GCF_003697165.2,EAS44_RS07935,murP,comparable,28,53,0,53,0,0,0,0,0,28,unresolved_liftover
GCF_000005845.2,b2431,yfeX,GCF_003697165.2,EAS44_RS07930,yfeX,comparable,10,21,0,21,0,0,0,0,0,10,unresolved_liftover
GCF_000005845.2,b2432,yfeY,GCF_003697165.2,EAS44_RS07925,yfeY,comparable,7,14,0,14,0,0,0,0,0,7,unresolved_liftover
GCF_000005845.2,b2433,yfeZ,GCF_003697165.2,EAS44_RS07920,yfeZ,comparable,2,19,0,19,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2434,ypeA,GCF_003697165.2,EAS44_RS07915,ypeA,comparable,2,7,0,7,0,0,0,0,0,2,unresolved_liftover
GCF_000005845.2,b2435,amiA,GCF_003697165.2,EAS44_RS07910,amiA,comparable,0,44,0,44,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2436,hemF,GCF_003697165.2,EAS44_RS07905,hemF,comparable,16,22,0,22,0,0,0,0,0,16,unresolved_liftover
GCF_000005845.2,b2437,eutR,GCF_003697165.2,EAS44_RS07900,eutR,comparable,0,44,0,44,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2438,eutK,GCF_003697165.2,EAS44_RS07895,eutK,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b2439,eutL,GCF_003697165.2,EAS44_RS07890,eutL,comparable,37,22,0,22,0,0,0,0,0,37,unresolved_liftover
GCF_000005845.2,b2440,eutC,GCF_003697165.2,EAS44_RS07885,eutC,comparable,14,27,0,27,0,0,0,0,0,14,unresolved_liftover
GCF_000005845.2,b2441,eutB,GCF_003697165.2,EAS44_RS07880,eutB,comparable,0,30,0,30,0,0,0,0,0,0,different_variants_in_same_gene
